Concesionaria,Marca,Modelo,Versión,Tipo Carrocería,Precio (US$),Combustible,Motor (Cilindrada / HP / Torque),Transmisión (MT / AT / CVT y N° de marchas),Tracción,Largo (mm),Ancho (mm),Alto (mm),Despeje del suelo (mm),Baulera (Litros),Plazas (Asientos) (Nuevo),"ADAS (Full, Intermedio, Sin ADAS)",Asientos de Cuero (Sí/No),Techo Panorámico/Corredizo (Sí/No),Tamaño Pantalla (Pulgadas),Conectividad (Inalámbrico/Cable),Cámaras (Retroceso / 360),Garantía,Origen,URL del Auto,URL de Imagen,Subsegmento,Airbags
Automotor,Hyundai,TUCSON,LIMITED (2026),SUV,$43.990,Diesel,2.0 CRDI / 186 ps / 42.5 kg.m,Automático,4x2,4640,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,TUCSON,GLS FULL (2026),SUV,$35.990,HEV,1.6 Turbo HEV / 230 ps / 37.4 kg.m,Automático,4x2,4630,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso / 360,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,TUCSON,LIMITED (2026),SUV,$39.990,HEV,1.6 Turbo HEV / 230 ps / 37.4 kg.m,Automático,4x2,4630,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso / 360,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,PALISADE,LIMITED 8 Pas (2026),SUV,$62.990,Diesel,2.2cc,Automático,4x4,5065,1980,1805,203,300,8,Full,Sí,Sí,"12,3",Cable,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com/content/dam/hyundai/au/en/models/palisade/2025/exterior/PALISADE-Exterior-768x512-M.jpg,,
Automotor,Hyundai,PALISADE,LILIMITED 8 Pas (2026)MITED 8 Pas (2026),SUV,$62.990,HEV,2.5 T-GDI HEV / 330 hp,Automático,4x4,5065,1980,1805,203,300,8,Full,Sí,Sí,"12,3",Cable,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com/content/dam/hyundai/au/en/models/palisade/2025/exterior/PALISADE-Exterior-768x512-M.jpg,,
Automotor,Hyundai,PALISADE,CALLIGRAPHY 8 Pas (2026),SUV,$67.990,HEV,2.5 T-GDI HEV / 330 hp,Automático,4x4,5065,1980,1805,203,300,8,Full,Sí,Sí,"12,3",Cable,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com/content/dam/hyundai/au/en/models/palisade/2025/exterior/PALISADE-Exterior-768x512-M.jpg,,
Automotor,Hyundai,STARIA,9 PAS (2026),Furgón/MPV,$48.990,Diesel,2.2 TCI Diésel,Automático,4x2,5253,1997,1990,186,831,9,Sin ADAS,No,No,"4,2",No,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundaicamionesybuses.com.py/assets/images/modelos/staria-furgon/us4-k2-lhd-feature-wagon-smart-power-tailgate-570x410.jpg,,
Automotor,Hyundai,H-100,PORTER CON A/A (2026),Pickup,$19.990,Diesel,2.6cc / 80 cv / 167 Nm,MT,4x2,4850,1740,1740,130,-,3,Sin ADAS,No,No,No,No,No,5 años o 100.000 km,Corea del Sur,,,,
Automotor,Hyundai,PORTER,HR 2.6 D/ CABINA TRUCK (2026),Pickup,$33.000,Diesel,2.6cc / 80 cv / 167 Nm,MT,4x2,4850,1740,1740,130,-,3,Sin ADAS,No,No,No,No,No,5 años o 100.000 km,Corea del Sur,,,,
Automotor,Hyundai,KONA,GLS (2026),SUV,$29.990,HEV,1.6 GDI / 141 ps / 264 nm,Automático,4x2,4350,1825,1570,170,466,5,Full,Sí,No,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-kona-hybrid/kona-ext-2.webp,,
Automotor,Hyundai,HB20,HATCH (2027),Hatchback,$13.990,Nafta,1.0cc / 80 CV / 10.2 Kg.m,MT,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,HB20,HATCH (2027),Hatchback,$14.990,Nafta,1.6cc / 123 CV / 15.5 Kg.m,Automático,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,HB20,HATCH (2027),Hatchback,$15.490,Nafta,1.6cc / 123 CV / 15.5 Kg.m,Automático,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,New Creta,Comfort 2027,SUV,$22.500,Nafta,1.5 Naftero / 115 ps / 14.7 kg.m,Automático,4x2,4300,1790,1635,190,422,5,Intermedio,No,No,8,Inalámbrico,Retroceso,5 años o 100.000 km,Brasil,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZqSgd-4EXtn9hNGTAN53TIhJuq9bEkN7nLg&s,,
Automotor,Hyundai,New Creta,Platinum 2027,SUV,$26.990,Nafta,1.5 Naftero / 115 ps / 14.7 kg.m,Automático,4x2,4300,1790,1635,190,422,5,Full,Sí,No,"10,25",Cable,360,5 años o 100.000 km,Brasil,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZqSgd-4EXtn9hNGTAN53TIhJuq9bEkN7nLg&s,,
Automotor,Isuzu,D-MAX,LUJO SPORT (2025),Pickup,$49.990,Diesel,3.0cc / 188 HP / 450 Nm,AT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,Sí,No,"9""",Inalámbrico/Cable,Retroceso,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,STD PLUS (2026),Pickup,$33.990,Diesel,1.9cc / 148 HP / 350 Nm,MT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,Sin pantalla,USB/Bluetooth,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,STD PLUS (2026),Pickup,$34.990,Diesel,1.9cc / 148 HP / 350 Nm,MT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,Sin pantalla,USB/Bluetooth,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,SEMIFULL (2026),Pickup,$35.990,Diesel,1.9cc / 148 HP / 350 Nm,MT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,Sin pantalla,USB,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,SEMI FULL (2026),Pickup,$37.990,Diesel,1.9cc / 148 HP / 350 Nm,MT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,Sin pantalla,USB,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,FULL (2026),Pickup,$41.990,Diesel,1.9cc / 148 HP / 350 Nm,AT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,"8""",Inalámbrico/Cable,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,FULL (2026),Pickup,$43.990,Diesel,3.0cc / 188 HP / 450 Nm,AT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,"8""",Inalámbrico/Cable,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,SEMIFULL (2026),Pickup,$42.990,Diesel,3.0cc / 188 HP / 450 Nm,MT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,No,No,Sin pantalla,USB,No,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,LUJO SPORT (2026),Pickup,$50.990,Diesel,3.0cc / 188 HP / 450 Nm,AT 6a,4x4,5265,1870,1810,240,-,5,Sin ADAS,Sí,No,"9""",Inalámbrico/Cable,Retroceso,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,D-MAX,BLADE (2026),Pickup,$58.990,Diesel,3.0cc / 238 HP / 657 Nm,AT 6a,4x4,5265,1870,1810,240,-,5,Intermedio,Sí,No,"9""",Inalámbrico/Cable,Retroceso,3 años o 100.000 km,Tailandia,,https://images.squarespace-cdn.com/content/v1/51297e5de4b01fa6748bc904/1730089416004-7HDYGJWUYEH7H0O18A5O/24MY+ISUZU+D-MAX+BLADE_Moonstone+White_Off-Road+Driving+Images+%2825%29.JPG?format=1000w,,
Automotor,Isuzu,MU-X,STD (2026),SUV,$45.990,Diesel,1.9cc / 148 HP / 350 Nm,AT 6a,4x4,4850,1870,1825,235,311,7,Sin ADAS,No,No,"8""",Cable,No,3 años o 100.000 km,Tailandia,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkEuQpX_D-4t_TeoI-NJDew_rgr5jLJnGM8A&s,,
Automotor,Isuzu,MU-X,SEMIFULL (2026),SUV,$54.990,Diesel,3.0cc / 188 HP / 450 Nm,AT 6a,4x4,4850,1870,1825,235,311,7,Sin ADAS,Sí,No,"8""",Cable,Retroceso,3 años o 100.000 km,Tailandia,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkEuQpX_D-4t_TeoI-NJDew_rgr5jLJnGM8A&s,,
Automotor,Isuzu,MU-X,LUJO PESS (2026),SUV,$59.990,Diesel,3.0cc / 188 HP / 450 Nm,AT 6a,4x4,4850,1870,1825,235,311,7,Full,Sí,No,"9""",Inalámbrico/Cable,Retroceso,3 años o 100.000 km,Tailandia,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkEuQpX_D-4t_TeoI-NJDew_rgr5jLJnGM8A&s,,
Automotor,KGM Ssangyong,TIVOLI XLV,DELUXE (2024),SUV,$17.990,Nafta,1.597cc / 128 HP / 160 Nm,AT 6 marchas,4x2,4495,1810,1660,225,518,5,Sin ADAS,No,No,"8""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TIVOLI,DELUXE (2025),SUV,$22.500,Nafta,1.497cc / 163 HP / 260 Nm,AT 6 marchas,4x2,4255,1810,1620,225,430,5,Sin ADAS,No,No,"8""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,KORANDO,LIMITED (2025),SUV,$28.500,Nafta,1.497cc / 163 HP / 280 Nm,AT 6 marchas,4x2,4450,1870,1620,240,551,5,Intermedio,Sí,Sí,"8""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TORRES,DELUXE (2025),SUV,$27.990,Nafta,1.497cc / 160 HP / 280 Nm,AT 6 marchas,4x2,4700,1890,1710,255,560,5,Sin ADAS,No,No,"9""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TORRES,DELUXE + (2025),SUV,$30.990,Nafta,1.497cc / 160 HP / 280 Nm,AT 6 marchas,4x2,4700,1890,1710,255,560,5,Sin ADAS,No,No,"9""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TORRES,LIMITED (2025),SUV,$32.990,Nafta,1.497cc / 160 HP / 280 Nm,AT 6 marchas,4x2,4700,1890,1710,255,560,5,Intermedio,Sí,Sí,"9""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TORRES,LIMITED+ (2025),SUV,$33.990,Nafta,1.497cc / 160 HP / 280 Nm,AT 6 marchas,4x2,4700,1890,1710,255,560,5,Intermedio,Sí,Sí,"9""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,REXTON,DELUXE (2025),SUV,$44.990,Diesel,2.157cc / 202 HP / 441 Nm,AT 8 marchas,4x2,4850,1960,1825,320,847,7,Sin ADAS,Sí,No,"12.3""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,REXTON,LIMITED (2025),SUV,$49.000,Diesel,2.157cc / 202 HP / 441 Nm,AT 8 marchas,4x2,4850,1960,1825,320,847,7,Full,Sí,No,"12.3""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,REXTON,LIMITED (2025),SUV,$55.400,Diesel,2.157cc / 202 HP / 441 Nm,AT 8 marchas,4x4,4850,1960,1825,320,847,7,Full,Sí,Sí,"12.3""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,MUSSO GRAND,DELUXE (2025),Pickup,$40.900,Diesel,2.157cc / 202 HP / 441 Nm,AT 6 marchas,4x4,5405,1950,1855,320,-,5,Sin ADAS,No,No,"12.3""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,MUSSO GRAND,LIMITED (2025),Pickup,$47.990,Diesel,2.157cc / 202 HP / 441 Nm,AT 6 marchas,4x4,5405,1950,1855,320,-,5,Intermedio,Sí,No,"12.3""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,KORANDO,DELUXE (2026),SUV,$25.990,Nafta,1.497cc / 163 HP / 280 Nm,AT 6 marchas,4x2,4450,1870,1620,240,551,5,Sin ADAS,No,No,"8""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TORRES,DELUXE HYBRID (2026),SUV,$33.990,HEV,1.497cc / 160 HP / 280 Nm,AT 6 marchas,4x2,4700,1890,1710,255,560,5,Sin ADAS,No,No,"9""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TORRES,LIMITED HYBRID (2026),SUV,$38.990,HEV,1.497cc / 160 HP / 280 Nm,AT 6 marchas,4x2,4700,1890,1710,255,560,5,Intermedio,Sí,Sí,"9""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,REXTON,LIMITED (2026),SUV,$51.000,Diesel,2.157cc / 202 HP / 441 Nm,AT 8 marchas,4x2,4850,1960,1825,320,847,7,Full,Sí,No,"12.3""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TIVOLI,DELUXE (2027),SUV,$18.500,Nafta,1.497cc / 163 HP / 260 Nm,AT 6 marchas,4x2,4255,1810,1620,225,430,5,Sin ADAS,No,No,"8""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,KGM Ssangyong,TIVOLI,LIMITED (2027),SUV,$21.990,Nafta,1.497cc / 163 HP / 260 Nm,AT 6 marchas,4x2,4255,1810,1620,225,430,5,Sin ADAS,Sí,Sí,"8""",Cable,Retroceso,3 años o 100.000 km,Corea del Sur,,,,
Automotor,Lynk & Co,06 MAX,PHEV (2025),SUV,$25.500,PHEV,1.5L / 118 kW,Automático 3DHT Evo,Delantera,4340,1820,1625,172,280,5,Full,Sí,Sí,"14,6",Inalámbrico,360,5 años o 100.000 km,China,,,,
Automotor,Lynk & Co,06 HALO,PHEV (2025),SUV,$27.500,PHEV,1.5L / 118 kW,Automático 3DHT Evo,Delantera,4340,1820,1625,172,280,5,Full,Sí,Sí,"14,6",Inalámbrico,360,5 años o 100.000 km,China,,,,
Automotor,Lynk & Co,01 HYPER,PRO (2025),SUV,$31.500,Nafta,,Automático,4x2,4549,1860,1689,213,509,,,,,,,,5 años o 100.000 km,China,,,SUV Compacta (C),
Automotor,Lynk & Co,03+,2025,Sedan,$43.990,Nafta,Drive-E 2.0TD / 265 HP / 380 Nm,Automático 8AT,4WD,4684,1843,1460,120,-,5,Full,Sí,Sí,"12,8",Inalámbrico,360,5 años o 100.000 km,China,,,,
Automotor,Lynk & Co,09 PRO,2025,SUV,$53.490,Nafta (MHEV),2.0TD / 254 HP / 350 Nm,Automático 8AT,AWD,5042,1977,1780,200,269,7,Full,Sí,Sí,12,Cable,360,5 años o 100.000 km,China,,,,
Automotor,Lynk & Co,09 PRO,2026,SUV,$54.990,Nafta (MHEV),2.0TD / 254 HP / 350 Nm,Automático 8AT,AWD,5042,1977,1780,200,269,7,Full,Sí,Sí,12,Cable,360,5 años o 100.000 km,China,,,,
Automotor,Lynk & Co,09 HALO,2026,SUV,$59.990,Nafta (MHEV),2.0TD / 254 HP / 350 Nm,Automático 8AT,AWD,5042,1977,1780,200,269,7,Full,Sí,Sí,12,Cable,360,5 años o 100.000 km,China,,,,
Automotor,Lynk & Co,09 ULTRA,2026,SUV,$64.990,Nafta (MHEV),2.0TD / 254 HP / 350 Nm,Automático 8AT,AWD,5042,1977,1780,200,269,7,Full,Sí,Sí,12,Cable,360,5 años o 100.000 km,China,,,,
Automotor,Mahindra,3X0,Confort MT 26,SUV,$12.990,Nafta,1.2L Turbo / 110 HP / 200 Nm,MT 6,2WD,3995,1727,1627,160,257,5,Sin ADAS,No,No,7,Cable,No,3 años o 100.000 km,India,,,,
Automotor,Mahindra,3X0,Confort AT 26,SUV,$16.990,Nafta,1.2L Turbo / 110 HP / 200 Nm,AT 6,2WD,3995,1727,1627,160,257,5,Sin ADAS,No,No,7,Cable,No,3 años o 100.000 km,India,,,,
Automotor,Mahindra,3X0,Elite 26,SUV,$17.990,Nafta,1.2L Turbo / 110 HP / 200 Nm,AT 6,2WD,3995,1727,1627,160,257,5,Sin ADAS,No,No,7,Cable,Retroceso,3 años o 100.000 km,India,,,,
Automotor,Mahindra,3X0,Luxury 26,SUV,$20.990,Nafta,1.2L Turbo / 110 HP / 200 Nm,AT 6,2WD,3995,1727,1627,160,257,5,Sin ADAS,Sí,No,7,Cable,Retroceso,3 años o 100.000 km,India,,,,
Automotor,Mahindra,S6 SC,Semifull,Pickup,$22.990,Diesel,2.2L mHawk / 140 HP / 320 Nm,MT 6,4WD,5175,1820,1860,210,1095 kg (Carga),2,Sin ADAS,No,No,No,No,No,3 años o 100.000 km,India,,,,
Automotor,Mahindra,S6 DC,Semifull,Pickup,$22.990,Diesel,2.2L mHawk / 140 HP / 320 Nm,MT 6,2WD,5175,1820,1860,210,995 kg (Carga),5,Sin ADAS,No,No,No,No,No,3 años o 100.000 km,India,,,,
Automotor,Mahindra,S6 DC,Semifull,Pickup,$23.990,Diesel,2.2L mHawk / 140 HP / 320 Nm,MT 6,4WD,5175,1820,1860,210,995 kg (Carga),5,Sin ADAS,No,No,No,No,No,3 años o 100.000 km,India,,,,
Automotor,Mahindra,S11 DC,Full,Pickup,$27.990,Diesel,2.2L mHawk / 140 HP / 320 Nm,AT 6,4WD,5175,1820,1860,210,995 kg (Carga),5,Sin ADAS,No,No,7,Cable,Retroceso,3 años o 100.000 km,India,,,,
Chacomer,Suzuki,Celerio,GL+ MT 2026,Hatchback,$10.990,Nafta,988 cc / 66 HP / 89 Nm,MT 5,2WD,3695,1655,1555,170,295,5,Sin ADAS,No,,7 o 9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Celerio,GL+ MT - SPORT KIT 2026,Hatchback,$11.790,Nafta,988 cc / 66 HP / 89 Nm,MT 5,2WD,3695,1655,1555,170,295,5,Sin ADAS,No,,7 o 9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Swift HEV,GLX MT 2026,Hatchback,$13.490,MHEV,1.197 cc / 80 HP / 111 Nm,MT 5,2WD,3860,1735,1520,145,265,5,Full,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Swift HEV,GLX MT - SPORT KIT 2026,Hatchback,$14.490,MHEV,1.197 cc / 80 HP / 111 Nm,MT 5,2WD,3860,1735,1520,145,265,5,Full,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Swift HEV,GLX AT 2026,Hatchback,$15.990,MHEV,1.197 cc / 80 HP / 111 Nm,AT,2WD,3860,1735,1520,145,265,5,Full,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Swift HEV,GLX AT - SPORT KIT 2026,Hatchback,$16.490,MHEV,1.197 cc / 80 HP / 111 Nm,AT,2WD,3860,1735,1520,145,265,5,Full,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Jimny 3P,GL 4WD AT 2026,SUV,$20.990,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3625,1645,1720,210,85,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,Japón,,,,
Chacomer,Suzuki,Jimny 3P,GLX 4WD AT 2026,SUV,$21.350,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3625,1645,1720,210,85,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,Japón,,,,
Chacomer,Suzuki,Jimny 3P,GLX 4WD AT Rhino Ed. 2026,SUV,$22.990,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3625,1645,1720,210,85,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,Japón,,,,
Chacomer,Suzuki,Jimny 5P,GL 4WD MT 2026,SUV,$20.490,Nafta,1.462 cc / 102 HP / 130 Nm,MT 5,4WD,3820,1645,1720,210,211,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Jimny 5P,GL 4WD MT Rhino Ed. 2026,SUV,$22.490,Nafta,1.462 cc / 102 HP / 130 Nm,MT 5,4WD,3820,1645,1720,210,211,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Jimny 5P,GL 4WD AT 2026,SUV,$22.990,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3820,1645,1720,210,211,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Jimny 5P,GL 4WD AT c/ Llanta Rhino 2026,SUV,$23.350,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3820,1645,1720,210,211,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Jimny 5P,GLX 4WD AT Rhino Ed. 2026,SUV,$24.990,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3820,1645,1720,210,211,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Jimny 5P,GLX 4WD AT 2025,SUV,$22.490,Nafta,1.462 cc / 102 HP / 130 Nm,AT 4,4WD,3820,1645,1720,210,211,4,Sin ADAS,No,,9,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Fronx HEV,GL MT 2026,SUV,$15.990,MHEV,1.462 cc / 102 HP / 137 Nm,MT 5,2WD,3995,1765,1550,170,304,5,Sin ADAS,No,No,7,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Fronx HEV,GL AT 2026,SUV,$17.990,MHEV,1.462 cc / 102 HP / 137 Nm,AT 6,2WD,3995,1765,1550,170,304,5,Sin ADAS,No,No,7,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Fronx HEV,GL AT BI TONO 2026,SUV,$18.490,MHEV,1.462 cc / 102 HP / 137 Nm,AT 6,2WD,3995,1765,1550,170,304,5,Sin ADAS,No,No,7,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Fronx HEV,GLX AT 2026,SUV,$19.490,MHEV,1.462 cc / 102 HP / 137 Nm,AT 6,2WD,3995,1765,1550,170,304,5,Sin ADAS,Sí,Sí,9,Inalámbrico,360,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Fronx HEV,GLX AT BI TONO 2026,SUV,$19.990,MHEV,1.462 cc / 102 HP / 137 Nm,AT 6,2WD,3995,1765,1550,170,304,5,Sin ADAS,Sí,Sí,9,Inalámbrico,360,3 años o 100.000km,India,,,,
Chacomer,Suzuki,XL7 HEV,GLX AT 2025,SUV,$21.990,MHEV,1.462 cc / 103 HP / 138 Nm,AT 4,2WD,4450,1775,1710,200,153,7,Sin ADAS,Sí,,7,Inalámbrico,Retroceso,3 años o 100.000km,Indonesia,,,,
Chacomer,Suzuki,XL7 HEV,GLX AT 2026,SUV,$25.289,MHEV,1.462 cc / 103 HP / 138 Nm,AT 4,2WD,4450,1775,1710,200,153,7,Sin ADAS,Sí,,7,Inalámbrico,Retroceso,3 años o 100.000km,Indonesia,,,,
Chacomer,Suzuki,Grand Vitara HEV,GL AT 2026,SUV,$20.990,MHEV,1.462 cc / 102 HP / 137 Nm,AT 6,2WD,4345,1795,1645,210,373,5,Sin ADAS,No,No,7,Inalámbrico,Retroceso,3 años o 100.000km,India,,,,
Chacomer,Suzuki,Grand Vitara HEV,GLX AT 2026,SUV,$22.990,MHEV,1.462 cc / 102 HP / 137 Nm,AT 6,2WD,4345,1795,1645,210,373,5,Sin ADAS,Sí,No,9,Inalámbrico,360,3 años o 100.000km,India,,,,
